CENTRAL POLLUTION CONTROL BOARD,,,,,,,,
16-11-2020 00:00,17-11-2020 00:00,105.83,,,,,,
17-11-2020 00:00,18-11-2020 00:00,89.58,,,,,,
18-11-2020 00:00,19-11-2020 00:00,148,,,,,,
19-11-2020 00:00,20-11-2020 00:00,196.61,,,,,,
20-11-2020 00:00,21-11-2020 00:00,207.57,,,,,,
21-11-2020 00:00,22-11-2020 00:00,156.72,,,,,,
22-11-2020 00:00,23-11-2020 00:00,187.49,,,,,,
23-11-2020 00:00,24-11-2020 00:00,231,,,,,,
24-11-2020 00:00,25-11-2020 00:00,299.74,,,,,,
25-11-2020 00:00,26-11-2020 00:00,361.97,,,,,,
26-11-2020 00:00,27-11-2020 00:00,113.35,,,,,,
27-11-2020 00:00,28-11-2020 00:00,93.9,,,,,,
28-11-2020 00:00,29-11-2020 00:00,135.08,,,,,,
29-11-2020 00:00,30-11-2020 00:00,170.88,,,,,,
30-11-2020 00:00,01-12-2020 00:00,220.25,,,,,,
01-12-2020 00:00,02-12-2020 00:00,271.54,,,,,,
02-12-2020 00:00,03-12-2020 00:00,242.21,,,,,,
03-12-2020 00:00,04-12-2020 00:00,257.38,,,,,,
04-12-2020 00:00,05-12-2020 00:00,399.42,,,,,,
05-12-2020 00:00,06-12-2020 00:00,348.5,,,,,,
06-12-2020 00:00,07-12-2020 00:00,347.08,,,,,,
07-12-2020 00:00,08-12-2020 00:00,282.96,,,,,,
08-12-2020 00:00,09-12-2020 00:00,260.75,,,,,,
09-12-2020 00:00,10-12-2020 00:00,239.21,,,,,,
10-12-2020 00:00,10-12-2020 00:00,128,,,,,,
